model,coverage,RMSE,MAE,MAPE_%,N
naive,"830 suburbs, full-scale",27.004319630240673,17.141342511629325,225.54526150808059,14371
seasonal_naive,"830 suburbs, full-scale",25.128777329458778,16.39508339356885,219.01972968269362,14371
sarima,"830 suburbs, full-scale",21.109680260822135,12.211142539296397,123.78130596132146,14371
prophet,"149 suburbs, expanded sample",20.193182951411146,13.534792917396427,146.7066402814001,1983
