suburb,region,origin_idx,horizon,actual,prophet
TAHMOOR,sydney,40,1,16.492146596858646,3.3925337221275083
TAHMOOR,sydney,40,2,1.1235955056179805,-11.409846618369913
TAHMOOR,sydney,40,3,-5.000000000000004,9.093067213973356
TAHMOOR,sydney,40,4,5.146198830409365,5.91216075812272
TAHMOOR,sydney,46,1,-1.5748031496062964,3.326622732471346
TAHMOOR,sydney,46,2,1.333333333333342,5.524299132106606
TAHMOOR,sydney,46,3,-1.8421052631578887,2.759590901152875
TAHMOOR,sydney,46,4,1.6353887399463751,5.038446887545344
YAGOONA,sydney,28,1,12.371794871794872,-7.715989161396292
YAGOONA,sydney,28,2,3.251568739304056,-1.027437949962436
YAGOONA,sydney,28,3,16.961325966850826,-0.7822931679122801
YAGOONA,sydney,28,4,-7.888521492678313,1.4909485591801086
YAGOONA,sydney,34,1,-3.789943027000253,0.20685271467480737
YAGOONA,sydney,34,2,-9.371781668383106,3.5101471716146406
YAGOONA,sydney,34,3,13.749999999999996,5.129112980075245
YAGOONA,sydney,34,4,-4.395604395604391,6.0624750891296575
YAGOONA,sydney,40,1,-4.629629629629628,7.749758483353871
YAGOONA,sydney,40,2,1.941747572815533,-1.181126188732387
YAGOONA,sydney,40,3,14.28571428571428,6.1210914550526905
YAGOONA,sydney,40,4,-28.541666666666664,-0.01453919981850893
YAGOONA,sydney,46,1,-6.072874493927127,5.860311699256719
YAGOONA,sydney,46,2,15.15086206896552,-2.434943735209801
YAGOONA,sydney,46,3,0.6924948530787844,9.758441491880683
YAGOONA,sydney,46,4,-0.371747211895912,3.328203981086684
NORTH ST MARYS,sydney,28,1,-4.216867469879515,5.5852011349037065
NORTH ST MARYS,sydney,28,2,3.1446540880503138,1.0280440319111417
NORTH ST MARYS,sydney,28,3,6.402439024390239,3.9591744309598718
NORTH ST MARYS,sydney,28,4,5.555555555555558,0.043286173847136844
LANE COVE NORTH,sydney,28,1,-5.1948051948051965,7.481482759637213
LANE COVE NORTH,sydney,28,2,7.534246575342474,-5.531418809333544
LANE COVE NORTH,sydney,28,3,8.917197452229297,-3.2799699358763137
LANE COVE NORTH,sydney,28,4,4.093567251461994,0.7003871796330121
LANE COVE NORTH,sydney,34,1,15.361077111383103,-6.562884949141329
LANE COVE NORTH,sydney,34,2,-2.0689655172413834,9.574996594562327
LANE COVE NORTH,sydney,34,3,-11.430119176598051,-1.678816176820071
LANE COVE NORTH,sydney,34,4,3.0581039755351647,-8.11610064026437
LANE COVE NORTH,sydney,40,1,-7.596982758620685,-5.2769833152999945
LANE COVE NORTH,sydney,40,2,3.206997084548102,-2.984129737161425
LANE COVE NORTH,sydney,40,3,1.6949152542372836,3.1672095140666308
LANE COVE NORTH,sydney,40,4,14.999999999999991,-5.834076679750882
LANE COVE NORTH,sydney,46,1,5.945945945945952,0.939372736758628
LANE COVE NORTH,sydney,46,2,2.0408163265306145,3.2387280737829727
LANE COVE NORTH,sydney,46,3,2.0000000000000018,-0.5707294825111067
LANE COVE NORTH,sydney,46,4,-14.70588235294118,-4.683328315616798
CHATSWOOD,sydney,28,1,-3.773584905660377,11.916395575368718
CHATSWOOD,sydney,28,2,17.647058823529417,4.010525530862516
CHATSWOOD,sydney,28,3,-12.5,-1.0650621508153222
CHATSWOOD,sydney,28,4,2.4761904761904763,-1.948471437344394
CHATSWOOD,sydney,34,1,18.42105263157893,-5.09363493408216
CHATSWOOD,sydney,34,2,-30.000000000000004,5.283241726126214
CHATSWOOD,sydney,34,3,1.1904761904761862,4.758339101091577
CHATSWOOD,sydney,34,4,4.313725490196085,-5.677389094274246
CHATSWOOD,sydney,40,1,-6.231829492974628,4.017143977555259
CHATSWOOD,sydney,40,2,-21.53718222855785,11.362753582585016
CHATSWOOD,sydney,40,3,-2.725208175624527,1.2794378036945595
CHATSWOOD,sydney,40,4,47.859922178988334,-10.475529230740591
