Model,RMSE,MAE,MAPE_%,N
Naive persistence,37.355426413886406,21.476517875503728,236.47093665678943,7631
Seasonal-naive,32.81698780922973,18.304984699370284,241.98320942857623,7623
"Gradient Boosting (pooled, all suburbs)",16.080665956615004,10.11709977212091,108.81422125709702,7615
