suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
ABBOTSFORD,sydney,28,1,14.06844106463878,1.740812379110257,-17.85714285714286,-4.520953543487167
ABBOTSFORD,sydney,28,2,23.33333333333334,1.740812379110257,-17.85714285714286,-4.959235722883557
ABBOTSFORD,sydney,28,3,10.594594594594597,1.740812379110257,-17.85714285714286,3.2714087403544134
ABBOTSFORD,sydney,28,4,1.9061583577712595,1.740812379110257,-17.85714285714286,0.38711697594601424
ABBOTSFORD,sydney,32,1,-23.7410071942446,1.9061583577712595,14.06844106463878,-0.5308162285886787
ABBOTSFORD,sydney,32,2,6.91823899371069,1.9061583577712595,14.06844106463878,-2.1446449994634813
ABBOTSFORD,sydney,32,3,-29.411764705882348,1.9061583577712595,14.06844106463878,-0.46671262532798324
ABBOTSFORD,sydney,32,4,5.208333333333326,1.9061583577712595,14.06844106463878,-0.3960775291891329
ABBOTSFORD,sydney,36,1,37.82178217821781,5.208333333333326,-23.7410071942446,1.2119231679601072
ABBOTSFORD,sydney,36,2,3.4482758620689724,5.208333333333326,-23.7410071942446,0.6259893730973264
ABBOTSFORD,sydney,36,3,35.00000000000001,5.208333333333326,-23.7410071942446,2.542200253383683
ABBOTSFORD,sydney,36,4,-31.584362139917697,5.208333333333326,-23.7410071942446,0.35344483322926923
ABBOTSFORD,sydney,40,1,12.781954887218047,-31.584362139917697,37.82178217821781,-8.92560485060545
ABBOTSFORD,sydney,40,2,-8.266666666666666,-31.584362139917697,37.82178217821781,-1.0783900372161548
ABBOTSFORD,sydney,40,3,-10.755813953488367,-31.584362139917697,37.82178217821781,-8.330735592091573
ABBOTSFORD,sydney,40,4,-9.446254071661242,-31.584362139917697,37.82178217821781,7.5330707423108
ABBOTSFORD,sydney,44,1,0.7194244604316502,-9.446254071661242,12.781954887218047,1.0467346883143467
ABBOTSFORD,sydney,44,2,19.285714285714285,-9.446254071661242,12.781954887218047,-1.3481212033874717
