suburb,postcode,region,quarter,quarter_of_year,n_sales,median_price,median_price_per_sqm,qoq_pct_change,lag_1_price,lag_2_price,lag_3_price,lag_4_price,lag_1_qoq_pct,lag_2_qoq_pct,lag_3_qoq_pct,lag_4_qoq_pct,rolling_mean_4q,rolling_std_4q,state_benchmark_growth,nsw_tvd_qoq_pct,missing_benchmark_flag,is_q1,is_q2,is_q3,is_q4,flag_covid_period,flag_rate_hike_period,n_outliers_excluded_candidate
ABBOTSBURY,2176.0,sydney,2013-10-01,4,3,620000.0,847.4576271186442,,,,,,,,,,,,11.194029850746269,4.851749125079796,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2014-01-01,1,11,705000.0,1071.428571428571,13.709677419354849,620000.0,,,,,,,,,,-8.7248322147651,1.9773982513705768,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2014-04-01,2,13,815000.0,1124.6251249583472,15.602836879432624,705000.0,620000.0,,,13.709677419354849,,,,662500.0,60104.07640085654,7.058823529411762,3.326688283895174,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2014-07-01,3,13,720000.0,970.873786407767,-11.65644171779141,815000.0,705000.0,620000.0,,15.602836879432624,13.709677419354849,,,713333.3333333334,97766.72917374974,0.2747252747252737,3.0290728702010217,0,0,0,1,0,0,0,0
ABBOTSBURY,2176.0,sydney,2014-10-01,4,6,781500.0,1306.5745724923518,8.54166666666667,720000.0,815000.0,705000.0,620000.0,-11.65644171779141,15.602836879432624,13.709677419354849,,715000.0,79895.76542804588,11.780821917808224,4.598269127069421,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2015-01-01,1,7,762000.0,1267.8868552412646,-2.49520153550864,781500.0,720000.0,815000.0,705000.0,8.54166666666667,-11.65644171779141,15.602836879432624,13.709677419354849,755375.0,51725.839770853396,-2.8799019607843146,4.00557452675212,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2015-04-01,2,6,1247500.0,1248.093816566894,63.71391076115485,762000.0,781500.0,720000.0,815000.0,-2.49520153550864,8.54166666666667,-11.65644171779141,15.602836879432624,769625.0,39668.154733992844,8.517350157728698,6.439601644208892,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2015-07-01,3,15,970000.0,1307.5393791099557,-22.24448897795591,1247500.0,762000.0,781500.0,720000.0,63.71391076115485,-2.49520153550864,8.54166666666667,-11.65644171779141,877750.0,247832.10042284676,3.279069767441856,4.102996316362284,0,0,0,1,0,0,0,0
ABBOTSBURY,2176.0,sydney,2015-10-01,4,11,988500.0,1345.1377980865343,1.907216494845354,970000.0,1247500.0,762000.0,781500.0,-22.24448897795591,63.71391076115485,-2.49520153550864,8.54166666666667,940250.0,225286.66923130036,3.0173384372888856,-0.2620065097297619,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2016-01-01,1,7,795000.0,1359.680928208847,-19.575113808801213,988500.0,970000.0,1247500.0,762000.0,1.907216494845354,-22.24448897795591,63.71391076115485,-2.49520153550864,992000.0,198894.0253837036,-7.103825136612018,0.0929417360667317,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2016-04-01,2,6,740000.0,925.2056576706756,-6.91823899371069,795000.0,988500.0,970000.0,1247500.0,-19.575113808801213,1.907216494845354,-22.24448897795591,63.71391076115485,1000250.0,186470.06015265113,5.294117647058827,3.5421564524866778,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2016-07-01,3,11,966000.0,1428.571428571429,30.54054054054054,740000.0,795000.0,988500.0,970000.0,-6.91823899371069,-19.575113808801213,1.907216494845354,-22.24448897795591,873375.0,124528.02562743325,0.5586592178770999,3.2970730071020915,0,0,0,1,0,0,0,0
ABBOTSBURY,2176.0,sydney,2016-10-01,4,6,877500.0,1299.6919214970333,-9.161490683229811,966000.0,740000.0,795000.0,988500.0,30.54054054054054,-6.91823899371069,-19.575113808801213,1.907216494845354,872375.0,123505.31365087093,9.499999999999996,4.809193844522253,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2017-01-01,1,10,1016000.0,1375.6995534021617,15.783475783475787,877500.0,966000.0,740000.0,795000.0,-9.161490683229811,30.54054054054054,-6.91823899371069,-19.575113808801213,844625.0,98694.28808193514,-5.631659056316596,3.5883741259440383,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2017-04-01,2,9,1065000.0,1680.5959302325582,4.822834645669283,1016000.0,877500.0,966000.0,740000.0,15.783475783475787,-9.161490683229811,30.54054054054054,-6.91823899371069,899875.0,120993.37103053762,12.903225806451625,2.839981464098429,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2017-07-01,3,6,1123000.0,1477.1485696022833,5.446009389671369,1065000.0,1016000.0,877500.0,966000.0,4.822834645669283,15.783475783475787,-9.161490683229811,30.54054054054054,981125.0,80037.88165612586,-9.523809523809524,-0.5570269852081866,0,0,0,1,0,0,0,0
ABBOTSBURY,2176.0,sydney,2017-10-01,4,10,937500.0,1400.1409364836406,-16.51825467497774,1123000.0,1065000.0,1016000.0,877500.0,5.446009389671369,4.822834645669283,15.783475783475787,-9.161490683229811,1020375.0,104810.44397705163,8.315789473684209,1.4409279013242404,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2018-01-01,1,4,1210000.0,1973.1370592149035,29.066666666666663,937500.0,1123000.0,1065000.0,1016000.0,-16.51825467497774,5.446009389671369,4.822834645669283,15.783475783475787,1035375.0,78550.8062763628,-7.191448007774537,-0.3549950164354332,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2018-04-01,2,4,950000.0,1353.4169411776238,-21.487603305785118,1210000.0,937500.0,1123000.0,1065000.0,29.066666666666663,-16.51825467497774,5.446009389671369,4.822834645669283,1083875.0,114338.95151405466,1.8952879581151767,-1.0272076234703054,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2018-07-01,3,6,1068750.0,1388.126886966067,12.5,950000.0,1210000.0,937500.0,1123000.0,-21.487603305785118,29.066666666666663,-16.51825467497774,5.446009389671369,1055125.0,133516.7748512024,-2.3738567464803184,-1.4983320108979958,0,0,0,1,0,0,0,0
ABBOTSBURY,2176.0,sydney,2018-10-01,4,3,1270000.0,1285.0,18.830409356725152,1068750.0,950000.0,1210000.0,937500.0,12.5,-21.487603305785118,29.066666666666663,-16.51825467497774,1041562.5,126916.04426417756,-1.0526315789473717,-2.1172867147760788,0,0,0,0,1,0,0,0
ABBOTSBURY,2176.0,sydney,2019-01-01,1,4,811500.0,1283.8156489005694,-36.102362204724415,1270000.0,1068750.0,950000.0,1210000.0,18.830409356725152,12.5,-21.487603305785118,29.066666666666663,1124687.5,143803.884828146,-7.446808510638303,-1.9783989659780563,0,1,0,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2019-04-01,2,7,845000.0,1234.6909712332667,4.128157732593962,811500.0,1270000.0,1068750.0,950000.0,-36.102362204724415,18.830409356725152,12.5,-21.487603305785118,1025062.5,194204.61449632622,3.103448275862064,0.7756464269181418,0,0,1,0,0,0,0,0
ABBOTSBURY,2176.0,sydney,2019-07-01,3,6,884000.0,1438.3311337787432,4.615384615384621,845000.0,811500.0,1270000.0,1068750.0,4.128157732593962,-36.102362204724415,18.830409356725152,12.5,998812.5,213836.5200139272,0.3344481605351168,4.793925942212862,0,0,0,1,0,0,0,0
